		total        used        free      shared     buffers
Mem:              898         839          58           0           2
-/+ buffers/cache:            836          61
Swap:             255          12         243
USER      PID   PPID  VSIZE  RSS   WCHAN            PC  NAME
root      1     0     9416   816   SyS_epoll_ 00000000 S /init
root      2     0     0      0       kthreadd 00000000 S kthreadd
root      3     2     0      0     smpboot_th 00000000 S ksoftirqd/0
root      5     2     0      0     worker_thr 00000000 S kworker/0:0H
root      6     2     0      0     msm_mpm_wo 00000000 D kworker/u8:0
root      7     2     0      0     smpboot_th 00000000 S migration/0
root      8     2     0      0     rcu_gp_kth 00000000 S rcu_preempt
root      9     2     0      0     rcu_gp_kth 00000000 S rcu_bh
root      10    2     0      0     rcu_gp_kth 00000000 S rcu_sched
root      11    2     0      0     smpboot_th 00000000 S migration/1
root      12    2     0      0     smpboot_th 00000000 S ksoftirqd/1
root      14    2     0      0     worker_thr 00000000 S kworker/1:0H
root      15    2     0      0     smpboot_th 00000000 S migration/2
root      16    2     0      0     smpboot_th 00000000 S ksoftirqd/2
root      17    2     0      0     worker_thr 00000000 S kworker/2:0
root      18    2     0      0     worker_thr 00000000 S kworker/2:0H
root      19    2     0      0     smpboot_th 00000000 S migration/3
root      20    2     0      0     smpboot_th 00000000 S ksoftirqd/3
root      21    2     0      0     worker_thr 00000000 S kworker/3:0
root      22    2     0      0     worker_thr 00000000 S kworker/3:0H
root      23    2     0      0     rescuer_th 00000000 S khelper
root      24    2     0      0     rescuer_th 00000000 S netns
root      25    2     0      0     worker_thr 00000000 S kworker/0:1
root      26    2     0      0     worker_thr 00000000 S kworker/2:1
root      27    2     0      0     worker_thr 00000000 S kworker/1:1
root      28    2     0      0     worker_thr 00000000 S kworker/3:1
root      29    2     0      0     rescuer_th 00000000 S smd_channel_clo
root      30    2     0      0     rescuer_th 00000000 S smsm_cb_wq
root      31    2     0      0     worker_thr 00000000 S kworker/u8:1
root      32    2     0      0     msm_rpm_sm 00000000 D kworker/u9:0
root      33    2     0      0     rescuer_th 00000000 S rpm-smd
root      34    2     0      0     worker_thr 00000000 S kworker/u9:1
root      35    2     0      0     irq_thread 00000000 S irq/47-cpr
root      36    2     0      0     rescuer_th 00000000 S deferwq
root      37    2     0      0     rescuer_th 00000000 S mpm
root      38    2     0      0     worker_thr 00000000 S kworker/u8:2
root      39    2     0      0     worker_thr 00000000 S kworker/u8:3
root      48    2     0      0     rescuer_th 00000000 S writeback
root      49    2     0      0     rescuer_th 00000000 S bioset
root      50    2     0      0     rescuer_th 00000000 S crypto
root      51    2     0      0     rescuer_th 00000000 S kblockd
root      52    2     0      0     worker_thr 00000000 S kworker/0:1H
root      53    2     0      0     hub_thread 00000000 S khubd
root      54    2     0      0     ion_heap_d 00000000 S system
root      55    2     0      0     irq_thread 00000000 S irq/75-msm_iomm
root      56    2     0      0     irq_thread 00000000 S irq/75-msm_iomm
root      57    2     0      0     irq_thread 00000000 S irq/273-msm_iom
root      58    2     0      0     irq_thread 00000000 S irq/274-msm_iom
root      59    2     0      0     irq_thread 00000000 S irq/102-msm_iom
root      60    2     0      0     irq_thread 00000000 S irq/102-msm_iom
root      61    2     0      0     irq_thread 00000000 S irq/102-msm_iom
root      62    2     0      0     irq_thread 00000000 S irq/102-msm_iom
root      63    2     0      0     irq_thread 00000000 S irq/102-msm_iom
root      64    2     0      0     irq_thread 00000000 S irq/102-msm_iom
root      65    2     0      0     irq_thread 00000000 S irq/102-msm_iom
root      66    2     0      0     irq_thread 00000000 S irq/102-msm_iom
root      67    2     0      0     irq_thread 00000000 S irq/102-msm_iom
root      68    2     0      0     irq_thread 00000000 S irq/102-msm_iom
root      69    2     0      0     irq_thread 00000000 S irq/102-msm_iom
root      70    2     0      0     irq_thread 00000000 S irq/102-msm_iom
root      71    2     0      0     irq_thread 00000000 S irq/102-msm_iom
root      72    2     0      0     irq_thread 00000000 S irq/102-msm_iom
root      73    2     0      0     irq_thread 00000000 S irq/102-msm_iom
root      74    2     0      0     irq_thread 00000000 S irq/102-msm_iom
root      75    2     0      0     irq_thread 00000000 S irq/102-msm_iom
root      76    2     0      0     irq_thread 00000000 S irq/102-msm_iom
root      77    2     0      0     irq_thread 00000000 S irq/102-msm_iom
root      78    2     0      0     irq_thread 00000000 S irq/102-msm_iom
